query_id,query,qid
33772,新世界第一巴士,Q3408488
35016,日本料理,Q234138
35604,伊比利亚半岛,Q12837
35624,庞贝,Q43332
35912,标准排水量,Q491774
37202,中央公論新社,Q996095
37260,伍冰枝,Q236482
37424,普若佛,Q23443
37423,盐湖城,Q23337
37888,忌廉蘑菇湯,Q179158
37899,前656年,Q1059486
38379,黎锦熙,Q6538894
38410,积分,Q80091
38858,哈尔·斯帕克斯,Q445367
38942,道路,Q34442
40325,前483年,Q236991
40129,臭豆腐,Q701628
40595,柏林洪堡大學,Q152087
40946,熱狗,Q181055
41333,猫儿历险记,Q184701
41711,2004年夏季奥运会中国皮划艇队,Q10844483
42376,凌力,Q3369376
43078,大O符号,Q269878
43409,布吉納法索,Q965
43415,黑劳士,Q462484
45042,肉垂鹤,Q1141135
45054,道卡斯族,Q369238
45926,卡米耶·畢沙羅,Q134741
45433,五大湖,Q7347
46132,遊戲牌,Q7757463
46508,前295年,Q47628
46426,佛罗里达州,Q812
46604,壬申,Q1062030
46706,國立臺北科技大學,Q6978828
47257,1030年代,Q60202
47276,850年代,Q272704
47335,300年代,Q223816
47724,F-14雄貓式戰鬥機,Q34945
48805,前83年,Q42348
50094,翁山蘇姬,Q36740
50469,張秋生,Q9093265
51542,契丹人,Q218332
51844,基金,Q2620430
51657,超級機器人大戰系列,Q3504286
50975,臺灣清治時期,Q391189
52140,前170年,Q46983
52160,前191年,Q46066
52446,航空工程,Q8421
52950,赛斯,Q16473728
53417,黑格尔哲学的批判,Q11179178
54257,新垣里沙,Q233349
56215,季羡林,Q714228
55999,红黑树,Q506496
56842,江苏省立教育学院,Q10379316
57353,中国人民解放军东部战区总医院,Q6963655
57518,灌篮高手,Q714760
57653,聖約翰科技大學,Q7588852
58115,烏克蘭共產黨,Q1122797
58359,格林兄弟,Q2793
58489,雷鸟属,Q162029
58576,马萨达,Q186312
65055,外部数据表示法,Q1385056
64143,好太王碑,Q701096
58800,中药学,Q24841814
63998,教研室,Q10298738
65203,斗南鎮,Q709980
65586,王政复古,Q835568
67066,微处理器,Q5297
67397,爱德华·卢卡斯,Q274377
67472,毛利元就,Q1156545
67611,需求的价格弹性,Q3194154
67803,PageRank,Q184316
68801,紅牛,Q51482
68879,半乳糖,Q66589593
69836,在學率,Q9698264
70222,查理六世,Q150665
70323,石台县,Q1375205
70970,少林足球,Q536299
71397,挑戰者號太空梭,Q54382
71498,绿翅鸭,Q25700
71747,俱樂部,Q988108
71902,湖北省博物馆,Q4391403
72787,乍得,Q657
73254,中天電視,Q699106
74487,钦定版圣经,Q623398
74276,土耳其历史,Q190876
74944,八德區,Q74052
74953,西港區,Q709004
75398,战争论,Q1981770
74968,馬公市,Q701428
74971,湖西鄉,Q709939
77246,D区元素,Q214503
76973,指挥官基恩,Q868531
77708,蜘蛛人,Q79037
77913,殷素素,Q11125749
77989,科學幻想,Q24925
76035,二林鎮,Q718428
77785,武松,Q3055296
78192,乔治·沃尔德,Q295724
78649,沙加尔,Q835793
78726,NHK大河劇,Q1200935
78931,性學,Q170912
79884,下條阿童木,Q836374
80109,北京鲁迅博物馆,Q4881160
80169,查拉图斯特拉如是说,Q199774
80505,阿尔布雷希特七世,Q311452
80916,钫,Q671
80203,礼泉县,Q1201612
80368,天人合一,Q24841804
81872,社頭鄉,Q715860
83013,克拉拉·蔡特金,Q75823
84751,北京湿地,Q10902348
83486,苏铁,Q161517
85463,威廉·詹宁斯·布莱恩,Q205282
87125,黃金角,Q2296486
87543,克拉梅爾猜想,Q515591
87334,劍橋公爵威廉王子,Q36812
88136,新山,Q231318
88454,锂电池,Q899079
89642,陶庵梦忆,Q17034744
90030,全天域電影,Q3352078
90702,雅凡娜,Q1771124
90598,大江戶線,Q384862
90902,煤气,Q842311
92501,小魔女DoReMi,Q498847
91744,菊目,Q21730
91737,海牙国际私法会议,Q4130823
93166,唐末民變,Q10922839
93901,哥伦比亚丘陵,Q619057
94577,擦音,Q31427
94826,吴应箕,Q10919483
93907,乔拉山,Q6856335
95233,中华人民共和国知识产权法,Q4121120
95255,万寿祺,Q10865007
95593,紹武帝,Q1046002
95602,最终兵器少女,Q95035
96408,福島大學,Q1157046
96587,枇杷,Q41505
97274,倒挂金钟,Q164101
97392,1995年國家領導人列表,Q362155
97656,李亚鹏,Q717397
97975,日本学士院,Q1683229
98143,木兰溪,Q11092851
98748,京都工藝纖維大學,Q1069423
99286,長青隧道,Q5094269
101094,巴纳比·拉奇,Q2362527
100445,藏獒,Q39322
102128,217国道,Q1892303
101727,霸州市,Q812672
102672,英皇道,Q6411080
103771,S/2004 S 6,Q18345
103974,江西铜业股份,Q1518015
104358,韋家輝,Q616410
104425,世子,Q104093542
105541,虎眼万年青,Q2152366
106740,三角形郵票,Q9382777
107305,吳昌碩,Q715400
106808,电负性,Q78974
108508,定音鼓,Q189737
108749,天體力學,Q184274
109271,羊城通,Q837638
111040,英式早餐,Q73989
111597,三大战役,Q10865710
111971,1978年亚洲运动会,Q729484
113157,杀手阿一,Q3791674
112588,清真寺,Q32815
113450,70年代,Q262207
113476,復仇三部曲,Q483605
113932,塔爾-泰勒曼奈特,Q2630875
114349,斯拉夫人,Q40477
115152,二千石,Q11371405
115468,湖北省立文科大学,Q15955979
114778,檀香目,Q21851
116445,南开大学商学院,Q9522266
117192,魁北克市,Q2145
118649,生物分子列表,Q3236706
120206,比施勒－纳皮耶拉尔斯基反应,Q866098
120097,黎曼几何,Q761383
121089,高其佩,Q698454
121323,公权力,Q10892925
122398,剪嘴鸥属,Q212941
128996,古斯塔夫·施特雷澤曼,Q103955
129000,皮埃尔·孟戴斯-弗朗斯,Q314265
129004,保罗·雷诺,Q161076
131133,1960年夏季奥林匹克运动会,Q8415
131368,大协奏曲,Q210216
132207,箭十字黨,Q160159
132121,朝鮮憲宗,Q484966
132613,星際大爭霸,Q2367132
133830,累加器,Q420105
132630,谢绳武,Q8044376
134070,亚洲和太平洋地区世界遗产列表,Q6453853
134675,硬體暫存器,Q5351510
134086,聯邦政府,Q1006644
135037,蒙哥馬利·史考特,Q607489
134883,蒂埃里·亨利,Q45901
135038,有尾目,Q53663
135552,歷山二世,Q171112
135209,肽类激素,Q416997
136907,雅可比恒等式,Q1151539
138357,空韻,Q15910911
137011,哈勃–勒梅特定律,Q179916
138309,赫伯特·马尔库塞,Q60030
139757,Cygwin/X,Q2746180
139880,金边瑞香,Q6677356
140144,长白松,Q15889125
140349,國家職業棒球員協會,Q1966945
141570,调漆,Q10531259
142545,黑猩猩屬,Q80174
140528,野田順子,Q2713581
142841,万盛石林,Q10865127
142936,王幸男,Q7967628
143643,平壤醫學大學,Q39954
144609,泉章居,Q11143269
144687,敦煌酒樓集團,Q10299121
145276,亚历山大港,Q80172
146003,帧率,Q119565
145870,邸报,Q3125185
146171,串接,Q126002
146213,珞珈三女杰,Q15909524
146889,赤大白铁路,Q15951850
148553,樹夏實,Q619010
149121,桑德兰,Q188304
149231,西绪弗斯神话,Q1125903
149267,蓮花大橋,Q1318967
150439,后现代主义建筑,Q595448
150715,洛朗-德西雷·卡比拉,Q135547
151722,姊妹島,Q838664
152046,前304年,Q81142
152220,龍門溶洞,Q10567398
152236,切韵音,Q10896953
152321,花蓮港,Q3847201
152337,义马市,Q1311267
154043,曼達拉欣豐虎航,Q1198815
154228,九评苏共,Q10879013
155870,中国科学院上海有机化学研究所,Q9384254
156085,青羊宫,Q2121639
157136,森田剛,Q838229
157285,SD娃娃,Q837996
157625,读书无用论,Q10531077
158291,孔泉,Q3111187
160383,算术平均数,Q19033
159889,欧洲中央银行,Q8901
160564,水肺潛水,Q1096878
160843,内丹术,Q2382581
162232,DMDScript,Q6147367
159250,巴西利卡,Q163687
162359,主機託管,Q730132
162779,拉玛二世,Q319675
162911,Kubuntu,Q11250
163131,聾啞,Q1118643
163697,斯塔克伯格竞争,Q1184602
163847,安提柯二世,Q241386
164130,哈桑县,Q956732
164861,广州法租界,Q11062160
163377,洛克人系列,Q7565689
166352,西班牙坂,Q5365183
164783,SA-3导弹,Q312471
166712,費氏丙酸桿菌,Q3008030
166740,南華足球隊,Q1140533
166599,赖久尔县,Q1430830
168771,區域市政局,Q7309037
169797,美南长老会,Q3268181
170323,契丹大字,Q6401797
169034,环带纲,Q839350
170517,上川綜合振興局,Q1152333
169952,特洛伊木馬,Q50193
172069,反法西斯人民自由同盟,Q574639
172243,天真汉 (轻歌剧),Q1033015
171382,接口,Q13743633
172339,预序关系,Q1425985
173310,浏阳河,Q11148324
173540,胭脂水粉,Q4603040
173600,威爾漢·赫爾曼,Q67495
173714,秦东亚,Q5224222
173812,居伊·德·莫泊桑,Q9327
174564,冒险之星,Q2574972
175995,老派发音,Q10483563
176177,鶯歌車站,Q8053709
174946,支付宝,Q493556
176755,金永春,Q38804
177739,湖南科技大学,Q5942041
178205,慧遠,Q11074178
178239,奥地利历史,Q187830
178252,P-35戰鬥機,Q1423403
178714,前列腺结石,Q4211671
178534,陸觀豪,Q12140526
178963,虎跑泉,Q839278
179859,香奈儿,Q218115
179995,真主瑪哈,Q15893809
180065,前10世纪,Q25425
179650,貝璐,Q981521
180388,领海基线,Q810247
182123,張德粹,Q11068406
182367,温属众教会,Q17029931
182987,都灵,Q495
183432,中有,Q256585
182777,克勉十一世,Q129967
183448,政府飛行服務隊,Q838895
185600,克力同篇,Q267634
186294,以法莲,Q203251
186364,前685年,Q1059632
187178,前316年,Q83105
187193,前288年,Q47646
188035,前1000年代,Q641019
189746,齐万年,Q11180185
188266,恐惧状态,Q2164310
188963,灣仔電腦城,Q15930837
190026,福利公司,Q17029755
190608,東清鐵路,Q39158
191500,察合公主,Q7065392
191506,中国山脉列表,Q90607124
192754,1976年冬季奥林匹克运动会,Q9651
191657,弗朗索瓦-马利·德·布罗伊，第一代布罗伊公爵,Q579407
193764,中國婦女生活史,Q9384321
195265,英格蘭足球同盟,Q905398
195698,宇多天皇,Q349267
195850,格林公式,Q321237
195943,世界貿易組織第二次部長級會議,Q3025293
196169,沃丁,Q888017
196332,西门子 SL55,Q15939997
197991,江焯勳,Q11134791
198545,DVD-RW,Q844440
198871,阿斯科利足球俱樂部,Q6630
199086,新口岸填海區,Q11081723
199101,檀君紀元,Q505203
200371,广州环城高速公路,Q11062170
201315,芯片组,Q182656
201912,亞瑟·查理斯·克拉克,Q47087
201421,余力為,Q3573078
203162,建熙,Q8011362
204033,全美超級模特兒新秀大賽,Q31426
203401,赫耳墨斯·罗德里格斯·达·丰塞卡,Q312874
202947,中国湿地公园,Q9384223
202991,百合二重唱,Q15913442
204118,西班牙王位繼承戰爭,Q150701
204384,埃利亚斯·赫拉维,Q118272
205569,君王后,Q8249212
206189,鄭眾,Q197664
206424,洪承疇,Q5894047
207503,美国体育,Q1511442
206730,葡萄糖-6-磷酸脫氫酶缺乏症,Q848343
207918,學券制,Q173810
206737,1729,Q825176
209206,战国策派,Q11075003
209284,何鍵,Q10886434
210348,对趾足,Q2529975
210503,英雄·刀·少年,Q5449899
211055,黄犬契约,Q1074679
211413,自由逻辑,Q3502887
211881,世界經濟論壇,Q170418
214091,2005年國際足協世界足球先生,Q994963
214459,香港置地,Q753801
214474,珠江隧道,Q14947269
214804,鞘翅目,Q22671
215085,宝树院,Q5362720
215381,楚義帝,Q1207474
216206,赵尔陆,Q8070517
215545,湖南湘濤足球俱樂部,Q552850
216566,阿尔弗雷德·舒茨,Q94018
216679,宾阳县,Q864098
216868,李九龙,Q8299338
218624,黑天鹅,Q131044
218961,马其顿语,Q9296
220291,美工圖案,Q1101796
219008,罗姆语,Q13201
220529,投机,Q107885
220664,刻琉斯,Q1141300
221016,狄拉克奖,Q1227369
221440,成珈瑩,Q8261222
224296,六道,Q1192450
224405,腹股沟疝,Q1144039
225091,需求层次理论,Q179515
225484,莱曼·波特,Q10507974
226034,2006年冬季奥林匹克运动会有舵雪橇比赛,Q613506
226340,联合国粮食及农业组织,Q82151
226822,李纲,Q1391913
226967,盘古王表,Q17162478
227439,鲁提菲,Q1757852
227845,克莱稍集团,Q675215
229060,天津市第二中学,Q10940171
229960,楊枝甘露,Q4243948
230880,群落,Q184806
231290,混吉,Q17028747
231878,雨花台区,Q1197681
232465,木马乐队,Q6785778
233198,架勢堂,Q7224870
233175,2006年冬季奥林匹克运动会冰壶比赛,Q733007
233864,廢藩置縣,Q331905
235379,比森特·德尔·博斯克,Q657360
235688,费曼物理学讲义,Q682339
236246,阿克陶县,Q423419
237157,多维标度,Q620538
238134,蕭邦國際鋼琴比賽,Q857351
239237,游酢,Q4533465
242401,阴维脉,Q11658245
242736,鄂霍次克海,Q41602
243692,黃竹坑醫院,Q11176690
244627,普珥節,Q180115
244689,贖罪日,Q132994
246973,伯明翰,Q2256
252520,世界視覺日,Q9383980
253885,演绎定理,Q1182249
254097,第一屆全國體育大會,Q10458096
254365,阿亚库乔战役,Q934157
255386,德国商业银行,Q157617
255609,鼠李目,Q2118512
255861,萬葉集,Q834321
255891,蘇菲·蕭爾,Q76972
258833,路氹金光大道,Q5175284
259625,日光線,Q1325668
257992,雷定三世,Q103437
257267,顯示性偏好,Q1323737
259344,损伤容限,Q937837
259682,腎積水,Q730877
260007,王欽若,Q843931
260103,人名用漢字,Q1439720
262075,愛爾蘭憲法,Q733272
262262,國立花蓮教育大學,Q9688499
265732,烏斯特烏斯特人,Q1265190
265969,生物量,Q2945560
263210,苏庇路里乌玛二世,Q316078
265848,陳哲男,Q8272200
266463,偶像劇,Q8192124
266688,無綫電視兒童節目,Q16923405
266682,1948年中華民國立法委員選舉,Q5367744
267357,公共廣播服務檢討委員會,Q10892605
267849,創意教師社群,Q10899292
270853,坦桑麂羚,Q909018
270926,舞龍,Q636304
271270,Charis SIL,Q856924
272782,关贵敏,Q10894004
273551,承兌匯票,Q11076326
272977,罗斯季斯拉夫·雅罗斯拉维奇 (梁赞),Q4398430
275528,浪潮,Q157973
275178,法主真君,Q12482690
274497,沮授,Q1325048
276274,赤松健,Q311589
274915,货币扩张,Q13576850
277571,三氯化铕,Q418517
277866,湖畔花園,Q16868485
277977,宁波圣教堂,Q10132706
279986,拉丁帝国,Q178897
278543,程潛,Q699357
280537,阿拉善左旗,Q1367222
280868,心形符號,Q826930
282315,軍器監法,Q17041443
281893,浅川一家,Q11148006
281314,卡昂,Q41185
282373,藏巴汗,Q729540
283629,2006年世界杯足球賽參賽名單 (F組),Q10844598
284270,張麗華,Q711647
284522,標準德語,Q279350
285195,綠領行動,Q13635520
286652,.is,Q39896
285975,费柴尔德,Q1136766
287127,.kr,Q41853
287762,可關斷晶閘管,Q1189770
287709,邁爾康·福布斯,Q1887014
290188,奥尔杜省,Q483180
290583,孟良崮戰役,Q10945232
289451,厄斯帕尔塔省,Q268043
287491,喜多郎,Q273652
291264,柯丁丑,Q11109092
291453,2006年全國體育大會舞龍舞獅比賽,Q8489005
292511,太平市,Q36497
292189,飞秒激光,Q663383
292596,贝尔韦尤航空210号班机空难,Q2497839
293148,首都客運,Q15895786
292779,朱世勤,Q11093529
293321,滑石山,Q10396703
294053,黎明游戏公司,Q959672
293989,澳門培正中學,Q7259003
294961,坎帕拉,Q3894
295717,尼斯,Q33959
297729,珍妮佛·康納莉,Q103343
299675,黃銅,Q39782
302500,革命社會主義,Q2120936
302271,咸通,Q10921797
302728,山內容堂,Q711001
305446,麥田捕手,Q183883
306274,彼爾姆邊疆區,Q5400
306620,小田秀組,Q10959733
306838,石亨,Q11585153
307153,数和,Q212785
306938,補時,Q1962593
307427,台灣文學,Q700808
309574,加利福尼亞省,Q301467
309831,相對論性多普勒效應,Q579900
308887,阿塔卡马大区,Q2120
310216,閩都別記,Q6673537
310516,膠囊酒店,Q837834
310428,銀月,Q7000
310600,CNET,Q1544247
310919,非子,Q556234
311029,政府化驗所,Q2969097
310915,任意球,Q1379266
311496,旺角電腦中心,Q10314168
311725,米蘭敕令,Q1260627
311900,生物特徵護照,Q623045
312373,南雄盆地,Q10909290
314065,宇宙無敵獎門人,Q10946159
316334,美人画,Q284521
316749,多年生植物,Q157957
317201,德基水庫,Q7692199
317727,呂建中,Q848765
317744,辅公祏,Q5506837
318571,NGC 116,Q1035574
318784,NGC 151,Q183617
319680,雷生春,Q6699901
319972,大阪國際機場,Q1046748
319214,朝鮮民族主義,Q716341
321016,阿曼多·阿琛迪亚,Q222679
321427,NGC 408,Q1253236
321834,NGC 451,Q773058
322108,薩瓦河省,Q1464080
322221,電腦警察,Q847978
322486,艾氏卡测定方法,Q15900272
322886,仁科盛信,Q4168137
323337,NGC 587,Q1037522
323858,大山脚,Q2158697
324418,美國醫師執照考試第一階段,Q7866460
324429,Java Card,Q46101
325108,NGC 1006,Q1040850
325119,NGC 1016,Q1040921
325111,NGC 1010,Q1278290
325146,NGC 1029,Q588096
325429,NGC 1148,Q1041827
325470,NGC 1186,Q1278257
325769,澎湖寨巡檢,Q15944566
325919,威廉·巴克豪斯,Q60256
326537,NGC 1230,Q1042286
326508,NGC 1202,Q1042108
326001,北倫達省,Q214221
327409,155,Q721035
327463,196,Q718403
327599,第十州,Q18277
327678,壶菌门,Q473747
328212,備州,Q10889248
329471,味蕾,Q862867
330912,編修,Q17032605
330947,NGC 1429,Q1043330
330983,NGC 1444,Q1043426
332182,宋殤公,Q1129977
331932,日本捕鲸业,Q1934603
330988,NGC 1449,Q1043458
332684,假幣,Q854851
333066,猜單詞遊戲,Q460875
333788,綠山城,Q104720
335092,NGC 1557,Q1044012
335317,汶水路站,Q3270042
336031,表参道Hills,Q1076070
336516,弗雷德里克县 (马里兰州),Q501345
336841,NGC 1596,Q594835
337512,NGC 1911,Q1045979
337466,NGC 1866,Q88365157
338113,大稻埕圓環防空蓄水池,Q10937173
338860,伊散德爾瓦納戰役,Q747589
339325,神导演化论,Q498382
340654,莱利斯塔德,Q166065
340456,2006中国意大利年,Q8488426
341304,弗拉基米尔·万普尼克,Q983367
341831,費伏·森明頓,Q699900
341952,曹光彪,Q5072738
342376,平舆县,Q1198765
342960,藍喉金剛鸚鵡,Q476593
342779,新地岛,Q80413
345512,時角,Q734439
346010,欒布,Q6127691
347273,培僑中學,Q7259006
348036,品脫,Q11123
349207,黄豆豆,Q8969357
349610,金輔鉉大學,Q10564052
352841,玄奘大學,Q5924445
352177,EXE格式,Q623334
351767,青宏苑,Q20983827
351722,羅卓英,Q5932181
349772,儷瑪·摩娜,Q242700
352220,黃埔十道菜,Q10567151
353979,濁唇齒擦音,Q654787
354538,达孜区,Q1013643
355655,NGC 2016,Q1046479
355714,NGC 2071,Q1046747
358213,2008年夏季奥林匹克运动会乒乓球比赛,Q387526
355768,NGC 2120,Q1047008
356573,郭元振,Q3082953
360306,國共內戰戰鬥列表,Q10926771
356791,飛黃騰達4,Q7714057
359556,中国基督教三自爱国运动委员会,Q17229160
356898,拒马河,Q11077165
361431,拾寅,Q11077648
361289,一氧化氮合酶,Q417619
362842,陶模,Q15943020
362348,饮马河,Q10566286
362876,張樹聲,Q700518
366248,新界政務司,Q11083604
366289,胃切除術,Q827390
367207,權相佑,Q483621
367434,普渡河,Q857389
367498,人民广场历史文化风貌区,Q10883550
367825,夸梅·布朗,Q317037
367849,霍亨索伦统治者列表,Q10565904
369481,九里香属,Q1641850
368697,碧华园,Q17039696
370676,林品晶,Q9218979
371737,馬克惇,Q16927007
371974,鄭珉台,Q490321
372100,建州女真,Q1073469
372216,鳳飛飛,Q700792
373455,錢巍業,Q16929396
373493,吳觀域,Q10919127
373547,宇流麻市,Q694313
374472,史濟道,Q10916156
373762,STS-51-G,Q793632
375044,印第安纳步行者,Q170329
375400,黃智權,Q7929884
375535,雷宇,Q8985569
375777,檀石槐,Q985907
377271,BASIC Stamp,Q640596
377036,比绍,Q3739
377605,梅蘭迪爾,Q11415465
378758,樂安戰鬥,Q11120775
378970,大衛·韋伯,Q5237548
379159,希腊内战,Q188972
379771,崔姬,Q229442
381403,宓宏謨,Q10948049
380902,肯恩·考夫曼,Q5903781
381477,邵葆醇,Q16077141
382134,峄山镇,Q11051201
383785,香港鐵路運輸,Q860489
384044,硝石戰鬥,Q17039626
384315,邏輯磁碟管理工具,Q872009
385591,黄山伐,Q624054
385926,科瓦斯納縣,Q188959
387022,延享,Q1183728
387216,滕近輝,Q9308687
387626,挪威語維基百科,Q191769
387739,倭犰狳,Q846337
387800,科馬羅姆-埃斯泰爾戈姆州,Q190018
387822,毛猬属,Q1392810
388572,大耳果蝠,Q610050
389313,蝶蝠屬,Q134516
389338,蠅蝠屬,Q137961
389389,聯合道,Q6311775
389699,疣猴屬,Q358813
389700,費城實驗,Q496036
390911,中京大學,Q3083225
389973,何偉誠,Q9187168
391305,菏澤戰鬥,Q17032608
391515,吉岡美奈,Q9072861
392181,自我所有權,Q587650
392391,駝鼠屬,Q252533
392443,兹林州,Q192536
392938,布拉利-福尔蒂悖论,Q1010269
393070,1991年泰国军事政变,Q6585266
393229,彭登懷,Q9140027
395588,麦迪逊,Q43788
395755,鄂寧,Q16921719
395742,吳士功,Q10918723
396923,大夫第,Q117436848
396464,馬塞爾·德塞利,Q193625
396517,關原,Q27319402
397153,國務機要費,Q10926777
396692,Su-37戰鬥機,Q459133
396269,腸胃炎,Q156103
398268,劉健基,Q9464397
397292,渔网,Q271598
397618,印度傳統音樂,Q1323698
398860,出雲號列車,Q1054297
398921,蘇格蘭特許會計師公會,Q6040071
399251,亞罷拿河,Q3321207
399381,安妮·海瑟薇,Q36301
399359,利亞拿體育會,Q211401
400589,孔荷宠,Q8335319
400381,画家算法,Q936719
400361,周小燕,Q8290298
400906,法蘭西斯科·羅德里奎茲,Q1151895
401838,銀洲 (離島區),Q15909165
401979,弗里德里希·古爾達,Q345922
403627,卡薩欣,Q1735204
403274,羅嘉玲,Q10478469
403705,可行性研究,Q755009
408427,毛髮內生,Q860945
405739,大紅蛺蝶,Q1192742
407839,三线性插值,Q861176
408644,Led Zeppelin IV,Q201940
408713,伍茲湖縣,Q491243
409657,软音符,Q245421
409761,巖清寺,Q10272392
410899,湘潭戰鬥,Q17031408
410198,康契欽縣,Q486305
413213,佩卓·馬丁尼茲,Q726918
413217,角球,Q242415
414449,香港導遊總工會,Q16924244
418349,幸运数,Q1428157
417731,鹽湖縣,Q484556
418582,十一月十一,Q840338
419778,金屬氧化物半導體場效電晶體,Q210793
419806,鄭柏林,Q9087055
420148,紐約地鐵R線,Q126459
421447,星际之门,Q11927
422586,貂獴屬,Q118979
422596,和富中心,Q10921409
424040,红豆蛋糕,Q7305283
424777,胡國興,Q9328888
425447,太陽常數,Q335272
425586,约克郡谷地,Q977613
425689,NHK日本国际传媒,Q1191688
425905,幸福的黄手绢,Q872112
426223,国际滑冰联盟花样滑冰大奖赛,Q1654923
426296,阿列尔·奥尔特加,Q296965
428522,心血管疾病,Q389735
428888,高村镇,Q31853705
429694,埃斯孔迪达铜矿,Q588433
431413,弗雷德·文森,Q460151
431499,芽笼,Q525295
430819,专有服务器,Q1996088
431625,如聖散,Q10942987
432793,楊壬孝,Q9298812
433067,東方之珠,Q3077018
434064,Ɣ,Q374797
434075,茨欣瓦利,Q79863
435046,通靈王,Q219610
436365,酎金失侯,Q15934943
434370,海都,Q558670
437088,情癲大聖,Q4655870
436767,典範轉移,Q689971
437331,盧秀燕,Q8274707
439543,新竹客運,Q11083977
439917,聖神修院,Q58555
441336,黃昭輝,Q8348614
445987,STS-57,Q71962
447180,腳踝,Q168002
447280,深圳灣公路大橋,Q7222063
447805,魔界女王候補生,Q865603
446863,啊，加拿大,Q93359
448168,2014年亚洲运动会,Q495366
448587,盧戈氏碘液,Q409860
449046,美国海军陆战队,Q11218
449278,雪山神女,Q170485
449847,文图拉县,Q108127
450895,塙直之,Q866169
452477,藤球,Q188818
451767,桑克,Q1095022
452810,胡春华,Q1185298
453584,空中大灌籃,Q207659
453613,茄科,Q134172
453728,謝遷,Q15907757
454104,崇陽戰鬥 (抗日戰爭),Q11053197
455397,荒木伸吾,Q2632773
456779,石岛,Q2218561
456566,白巧克力,Q742385
457240,碛西节度使,Q10442388
457402,吴芝圃,Q10919695
457660,分子雲,Q272447
457633,突尼斯鉤針編織法,Q2705715
458153,1975年地中海运动会,Q932480
457875,石之森章太郎,Q471103
458761,反戰運動,Q794691
458795,衛星城市,Q691960
459243,液胞,Q127702
459502,蒙扎,Q6252
459575,湯姆傑利小故事,Q2077391
460333,釋日常,Q15903951
460759,洛根縣,Q495160
463456,第104號交響曲 (海頓),Q166278
461410,梅肯縣,Q115324
464698,南园新村学校,Q10907152
465412,百百綱家,Q11580656
466442,四逆湯,Q27868330
467155,印第安纳波利斯奥林匹亚,Q513372
467588,知名病毒及蠕蟲的歷史年表,Q1292360
467775,瀨戶早妃,Q3088828
468196,被愛不如去愛,Q5353552
468369,演化論,Q11640129
468352,天體生物學,Q411
468575,冰火山,Q478788
470152,层云,Q40526
472096,韋拉札諾海峽大橋,Q125673
