item_qid,label_zh,label_kk,label_en,description_zh,description_kk,description_en
Q11661,信息技术,Ақпараттық технология,information technology,基于计算机信息系统的开发，管理和使用,,"development, management, and use of computer-based information systems"
Q6901,1640年,1640 жыл,1640,年,,year
Q82753,電腦檔案,файл,computer file,,,contained block of information on a computer
Q1930897,草海,,Caohai Lake,,,"lake in Weining County, Guizhou, China"
Q1321480,鼻烟壶,,anatomical snuff box,,,Indent on back of hand between tendons
Q889766,吠陀宗教,,Brahmanism,,,South Asian religion
Q697237,夏雨,,Xia Yu,中国大陆演员,,Chinese actor
Q245395,盘古,,Pangu,中国神话人物,,primordial giant of Chinese myth
Q188574,小熊維尼,Винни-Пух,Winnie the Pooh,故事角色,,fictional character created by A. A. Milne
Q129429,费雯·丽,Вивьен Ли,Vivien Leigh,英国女演员（1913－1967）,,British actress (1913–1967)
Q1366407,水力帝国,,hydraulic empire,,,social or government structure which maintains power and control through exclusive control over access to water
Q1141990,道藏,,Daozang,,,Collection of Taoist texts
Q114106,元搜索引擎,,metasearch engine,,,search tool that uses other search engines' data to produce their own results from the Internet
Q4994879,编码,,code,,,"cipher that operates on semantic tokens, rather than individual symbols or fixed-size blocks"
Q832747,蒙蒂·琼斯,,Monty Jones,,,Sierra Leonean plant breeder
Q10896657,出版学,,publishing,应用科学,,applied science
Q42369,戛纳电影节,Канн фестивалі,Cannes Film Festival,法國年度國際電影活動,,"annual film festival held in Cannes, France"
Q243817,72,72,72,自然數,,natural number
Q240553,材料力学,Беріктік,strength of materials,,,behavior of solid objects subject to stresses and strains
Q9385286,伍乔,,,,,
Q5443,葛丽泰·嘉宝,Грета Гарбо,Greta Garbo,,,Swedish-American actress (1905–1990)
Q10856,鸠鸽科,Кептерлілер,Columbidae,鸽形目的一科鸟类,,family of birds
Q25317,仓鸮,,Western Barn Owl,一种鸟类,,species of bird
Q2673694,周慧敏,,Vivian Chow,香港女演員、歌手,,Hong Kong actress and singer
Q2574,5月16日,16 мамыр,May 16,日期,,day of the year
Q17038647,渔家傲,,,,,type of cipai
Q7600699,東方魅力,,Star East,,,
Q2111,光速,жарық жылдамдығы,speed of light in vacuum,所有無質量粒子和相關場在真空中傳播的速度,,speed of electromagnetic waves in vacuum
Q7727,分钟,Минут,minute,時間單位,,unit of time
Q10899177,剑经,,,,,
Q10910810,卸骨术,,,,,
Q4465,彼得·杰克逊,Питер Джексон,Peter Jackson,新西兰电影导演,,"New Zealand film director, screenwriter, producer and actor"
Q11180,內科學,,internal medicine,学科,,"medical specialty dealing with the prevention, diagnosis, and treatment of  diseases of internal organs"
Q10404947,爆肚,,Bao du,,,
Q34433,牛津大学,Оксфорд университеті,University of Oxford,1096年创建的一所学校,,"collegiate research university in Oxford, England"
Q31093,九份,,Jiufen,位於臺灣新北市瑞芳區的地名及觀光景點,,"mountain area in Ruifang District near Keelung, Taiwan"
Q22890,爱尔兰岛,Ирландия (арал),Ireland,欧洲西北部的一座岛屿,,island in the North Atlantic Ocean
Q235419,网景导航者,,Netscape Navigator,,,web browser released in 1994
Q168403,近視,Алыстан көрмеушілік,myopia,视力缺陷,,visual defect which causes to see the near objects clearly and far objects unclearly
Q57394,努尔苏丹·纳扎尔巴耶夫,Нұрсұлтан Әбішұлы Назарбаев,Nursultan Nazarbayev,哈萨克斯坦首任总统 前哈萨克共产党中央第一书记,"Қазақстанның мемлекеттік және саяси қайраткері, Қазақстанның тұңғыш президенті (1990—2019)",President of Kazakhstan from 1990 to 2019
Q5253,1958年,1958 жыл,1958,年份,,year
Q185203,金星凌日,,transit of Venus,太陽和地球之間的金星遮蔽一小部分太陽對地輻射的天文現象,,astronomical transit of Venus across the Sun
Q49101,第二次中东战争,,Suez Crisis,1956年军事冲突,,"1956 invasion of Egypt by Israel, the United Kingdom, and France"
Q834800,胭脂扣,,Rouge,1987年香港電影,,1988 film by Stanley Kwan
Q426130,绵阳市,Мяньян,Mianyang,中国四川省第二大城市，地级市,,"prefecture-level city in Sichuan, China"
Q3408488,新世界第一巴士,,New World First Bus Services Limited,香港公共巴士營運商,,public bus operator in Hong Kong
Q234138,日本料理,,Japanese cuisine,日本的菜餚與飲食文化,,culinary traditions of Japan
Q491774,标准排水量,,tonnage,,,measure of the cargo-carrying volumetric capacity of a ship
Q179158,忌廉蘑菇湯,,cream of mushroom soup,,,type of soup
Q80091,积分,Интеграл,integral,计算操作,,operation in calculus
Q12837,伊比利亚半岛,Пиреней түбегі,Iberian Peninsula,歐洲西南端一半島地區,,peninsula located in the extreme southwest of Europe
Q996095,中央公論新社,,Chuokoron-Shinsha,,,Japanese publisher
Q43332,庞贝,Помпеи,Pompeii,,,"ancient Roman city near modern Naples, Italy"
Q1059486,前656年,Б. з. д. 656 жыл,656 BC,年,,year
Q236482,伍冰枝,,Adrienne Clarkson,前任加拿大總督,,26th governor general of Canada
Q34442,道路,автомобиль жолы,road,基础设施,,"wide way leading from one place to another, especially one with a specially prepared surface which vehicles can use"
Q23443,普若佛,,Provo,美国城市,,"city in and county seat of Utah County, Utah, United States"
Q445367,哈尔·斯帕克斯,,Hal Sparks,,,American actor
Q6538894,黎锦熙,,Li Jinxi,,,Chinese linguist
Q23337,盐湖城,,Salt Lake City,美国犹他州首府及最大城市,,"city in and county seat of Salt Lake County, Utah, United States and the capital of Utah"
Q701628,臭豆腐,,stinky tofu,一種發酵豆腐,,"Chinese fermented tofu with a strong odor; usually sold at night markets or roadside stands as a snack, or in lunch bars as a side dish, rather than in restaurants"
Q236991,前483年,Б. з. д. 483 жыл,483 BC,年,,year
Q181055,熱狗,хот-дог,hot dog,香腸類食品,,"sausage in bun, usually with toppings"
Q152087,柏林洪堡大學,,Humboldt University of Berlin,德國柏林公立大學,,"public research university in Berlin, Germany"
Q184701,猫儿历险记,Ақсүйек мысықтар,The Aristocats,,,1970 American animated film
Q10844483,2004年夏季奥运会中国皮划艇队,,,,,
Q3369376,凌力,,Ling Li,中国作家 (1942-2018),,Chinese writer and historian (1942-2018)
Q269878,大O符号,,big O notation,,,notation to describe the limiting behavior of a function
Q462484,黑劳士,,helots,古希腊斯巴达城邦一种国有奴隶制度,,Greek population ruled by Sparta
Q47628,前295年,Б. з. д. 295 жыл,295 BC,年,,year
Q369238,道卡斯族,,Taokas people,,,
Q7757463,遊戲牌,,The Playing-Card,,,Journal of the International Playing Card Society
Q1062030,壬申,,Yang Water Monkey,,,ninth element of the sexagenary cycle
Q7347,五大湖,Ұлы көлдер,Great Lakes,,,group of lakes in North America
Q812,佛罗里达州,Флорида,Florida,美國州份,,state of the United States of America
Q134741,卡米耶·畢沙羅,Писсарро Камиль Жакоб,Camille Pissarro,法籍丹裔印象派畫家,,Danish-French painter (1830-1903)
Q1141135,肉垂鹤,,Wattled Crane,,,species of crane found in Africa
Q965,布吉納法索,Буркина-Фасо,Burkina Faso,非洲西部國家,,sovereign state in Africa
Q6978828,國立臺北科技大學,,National Taipei University of Technology,位於台灣台北的大學,,"public university in Taipei, Taiwan"
Q60202,1030年代,,1030s,年代,,decade
Q272704,850年代,,850s,年代,,decade
Q223816,300年代,,300s,年代,,decade
Q34945,F-14雄貓式戰鬥機,,Grumman F-14 Tomcat,美国,,fighter aircraft family by Grumman
Q42348,前83年,Б. з. д. 83 жыл,83 BC,年,,year
Q36740,翁山蘇姬,Аун Сан Су Чжи,Aung San Suu Kyi,緬甸國務資政和全國民主聯盟領導人,,Former State Counsellor of Myanmar and Leader of the National League for Democracy
Q9093265,張秋生,,Zhang Qiusheng,作家,,writer
Q218332,契丹人,Қидан патшалығы,Khitan people,古代北亞及東亞游牧民族，已經因為融入其他民族而消亡,,nomadic people originally from Mongolia and Manchuria
Q2620430,基金,,financial endowment,集資或撥款成立的儲備金,,legal structure for managing a pool of investments for a specific purpose according to the will of its founders and donors
Q3504286,超級機器人大戰系列,,Super Robot Wars,日本電子遊戲系列,,video game series
Q391189,臺灣清治時期,,Taiwan under Qing dynasty rule,1683－1895年大清統治下的臺灣,,Taiwan's dynasty history
Q46983,前170年,Б. з. д. 170 жыл,170 BC,年,,year
Q8421,航空工程,,aeronautics,,,"science and art of study, design, manufacturing, and operation of airflight-capable machines"
Q16473728,赛斯,,Sáez,姓氏 (Sáez),"тек, ата-тек, әулет есім (Sáez)",family name
Q11179178,黑格尔哲学的批判,,,费尔巴哈著作,,
Q46066,前191年,Б. з. д. 191 жыл,191 BC,年,,year
Q506496,红黑树,,red–black tree,,,self-balancing binary search tree data structure
Q10379316,江苏省立教育学院,,,,,
Q233349,新垣里沙,,Risa Niigaki,,,"Japanese singer, actress, dancer, and model"
Q714228,季羡林,,Ji Xianlin,中国语言学家、文学翻译家,,"Chinese academic, linguist, historian, translator and university teacher (1911-2009)"
Q6963655,中国人民解放军东部战区总医院,,PLA Eastern Theater Command General Hospital,机构,,hospital in China
Q7588852,聖約翰科技大學,,St. John's University,臺灣私立大學,,university in Taiwan
Q1122797,烏克蘭共產黨,,Communist Party of Ukraine,烏克蘭共產主義政黨,,banned Marxist–Leninist political party in Ukraine
Q714760,灌篮高手,,Slam Dunk,日本少年漫畫,,Japanese manga series
Q2793,格林兄弟,Ағайынды Гриммдер,Brothers Grimm,德國作家和民俗學家,"неміс тілтанушылары, неміс халық мәдениетінің зерттеушілері","two German academics, philologists, cultural researchers, lexicographers, folklorists and authors"
Q1385056,外部数据表示法,,External Data Representation,,,standard data serialization format
Q701096,好太王碑,,Gwanggaeto Stele,,,memorial to King of Goguryeo
Q162029,雷鸟属,Аққұрлар туысы,Lagopus,雉科的一属鸟类,,genus of birds in the grouse subfamily
Q24841814,中药学,,,,,
Q10298738,教研室,,,,,
Q186312,马萨达,,Masada,以色列的一处考古遗址,,archaeological site
Q709980,斗南鎮,,Dounan,雲林縣底下的一個鎮,,urban township of Taiwan
Q274377,爱德华·卢卡斯,,Édouard Lucas,,,French mathematician
Q5297,微处理器,Микропроцессор,microprocessor,包含在集成電路芯片中的計算機處理器,,computer processor contained on an integrated-circuit chip
Q3194154,需求的价格弹性,,price elasticity of demand,衡量財貨的價格變化造成其需求變化多少,,responsiveness of the quantity demanded of a good or service to a change in its price
Q1156545,毛利元就,,Mōri Motonari,,,a prominent daimyō in the west Chūgoku region of Japan during the Sengoku period of the 16th century
Q835568,王政复古,,restoration of imperial rule,,,
Q184316,PageRank,PageRank,PageRank,网页排序算法,,algorithm for calculating the authority of a web page based on link structure.
Q9698264,在學率,,,,,
Q51482,紅牛,,Red Bull,功能性饮料,,brand of energy drinks sold by Red Bull GmbH
Q66589593,半乳糖,Галактоза,galactose,,,group of compounds
Q54382,挑戰者號太空梭,,Challenger,美國穿梭機,,American Space Shuttle orbiter
Q1375205,石台县,,Shitai County,中国安徽省池州市下辖的一个县,,county
Q150665,查理六世,,"Charles VI, Holy Roman Emperor",,,18th century Habsburg Holy Roman Emperor
Q988108,俱樂部,,club,以共同利益或目標團結的人民協會,,association of people united by a common interest or goal
Q4391403,湖北省博物馆,,Hubei Provincial Museum,中华人民共和国国家一级博物馆、大型综合性省级历史文物陈列展览馆,,museum in China
Q25700,绿翅鸭,Ысылдақ шүрегей,Eurasian Teal,鸭科鸭属鸟类,,species of duck in the genus Anas
Q699106,中天電視,,Chung T'ien Television,臺灣電視台,,Taiwanese television station
Q536299,少林足球,,Shaolin Soccer,2001年周星馳電影,,2001 film by Stephen Chow
Q190876,土耳其历史,,history of Turkey,,,"aspect of history, concerning Turkey"
Q74052,八德區,,Bade District,位於臺灣桃園市東北部的行政區,,district in Taoyuan City
Q709004,西港區,,Sigang District,臺南市的行政區,,A district of Tainan City
Q1981770,战争论,,On War,,,treaty on strategy by Carl von Clausewitz
Q701428,馬公市,,Magong,中華民國三級行政區劃（縣轄市）,,A county-administered city in Penghu County
Q623398,钦定版圣经,,King James Version,英國國教會官方批准的第三部聖經,,1611 English translation of the Christian Bible
Q709939,湖西鄉,,Huxi Township,澎湖縣的鄉,,A rural township in Penghu
Q657,乍得,Ташад,Chad,非洲中部国家,,sovereign state in central Africa
Q214503,D区元素,D-элементтері,d-block,,,periodic table block; on the middle of the periodic table and includes elements from groups 3 through 12
Q868531,指挥官基恩,,Commander Keen,电子游戏系列,,video game series by id Software
Q79037,蜘蛛人,Өрмекші-адам,Spider-Man,漫威漫画中的虚构人物,,fictional character in Marvel Comics
Q718428,二林鎮,,Erlin Township,,,urban township
Q24925,科學幻想,Ғылыми фантастика,science fiction,虛構作品類型,,genre of fiction
Q11125749,殷素素,,Yin Susu,,,character in wuxia fiction
Q295724,乔治·沃尔德,Джордж Уолд,George Wald,研究者,,Nobel laureate
Q1200935,NHK大河劇,,taiga drama,,,Japanese term coined by NHK for year-long historical drama television series
Q4881160,北京鲁迅博物馆,,Beijing Lu Xun Museum,文物保护单位,,"house museum in Beijing, China"
Q3055296,武松,,Wu Song,《水滸傳》人物,,Water Margin character
Q170912,性學,Сексопатология,sexology,研究性的科學,,scientific study of human sexuality
Q199774,查拉图斯特拉如是说,Заратуштра солай айтқан,Thus Spoke Zarathustra,尼采作品,,philosophical novel by Friedrich Nietzsche
Q836374,下條阿童木,,Atomu Shimojō,,,Japanese voice actor
Q835793,沙加尔,,Laurent Sagart,法国语言学家,,French linguist (born 1951)
Q311452,阿尔布雷希特七世,,"Albert VII, Archduke of Austria",,,Austrian cardinal and governor of the Netherlands (1559-1621)
Q24841804,天人合一,,Heaven and Man are One,,,Chinese philosophical concept
Q671,钫,Франций,francium,原子序数为87的化学元素,,chemical element with symbol Fr and atomic number 87
Q715860,社頭鄉,,Shetou Township,,,"rural township in Changhua County, Taiwan"
Q1201612,礼泉县,,Liquan County,,,county
Q10902348,北京湿地,,,,,
Q75823,克拉拉·蔡特金,Клара Цеткин,Clara Zetkin,,,"Communist activist, and advocate for women's rights"
Q161517,苏铁,,Cycas revoluta,苏铁科常绿树,,species of plant
Q2296486,黃金角,,golden angle,,,"division of 360° angle into two sub-angles, such that one is 1.618034 times bigger than the other (i.e. the golden ratio or ɸ)"
Q205282,威廉·詹宁斯·布莱恩,,William Jennings Bryan,,,American politician (1860–1925)
Q515591,克拉梅爾猜想,,Cramér's conjecture,,,conjecture
Q17034744,陶庵梦忆,,Recollections of Tao An,,,book by Zhang Dai
Q899079,锂电池,,lithium battery,电池种类,,any battery chemistry based on lithium
Q231318,新山,,Johor Bahru,马来西亚柔佛州首府,,"city and state capital of Johor, Malaysia"
Q1771124,雅凡娜,,Yavanna,,,fictional character from J.R.R. Tolkien's legendarium
Q3352078,全天域電影,,IMAX Dome,,,
Q842311,煤气,,town gas,,,fuel
Q384862,大江戶線,,Toei Ōedo Line,東京都營地下鐵的地鐵路線,,"metro line in Tokyo, Japan"
Q498847,小魔女DoReMi,,Ojamajo Doremi,日本電視動畫,,Japanese anime television series
Q21730,菊目,,Asterales,植物的一目,,order of plants
Q36812,劍橋公爵威廉王子,"Уильям, Кембридж герцогі","William, Prince of Wales",英國王位第一順位繼承人,,heir apparent to the throne of the United Kingdom and 14 Commonwealth Realms
Q31427,擦音,Саңылау дауыссыздар,fricative consonant,,,consonant produced by forcing air through a narrow channel made by placing two articulators close together
Q4130823,海牙国际私法会议,,Hague Conference on Private International Law,,,international organization
Q619057,哥伦比亚丘陵,,Columbia Hills,,,range of low hills inside Gusev crater on Mars
Q10922839,唐末民變,,,,,
Q10919483,吴应箕,,,,,
Q6856335,乔拉山,,Chawla Hill,,,"hill inside Gusev crater on Mars, named after Kalpana Chawla"
Q4121120,中华人民共和国知识产权法,,Intellectual property in China,,,protections and rights in China
Q1046002,紹武帝,,"Zhu Yuyue, Prince of Tang",南明皇帝,,Emperor of the Southern Ming
Q10865007,万寿祺,,Wan Shouqi,,,Qing dynasty person CBDB = 65963
Q1157046,福島大學,,Fukushima University,,,"Higher education institution in Fukushima Prefecture, Japan"
Q362155,1995年國家領導人列表,,list of state leaders in 1995,維基媒體列表條目,,Wikimedia list article
Q717397,李亚鹏,,Li Yapeng,中国男演员,,Chinese actor
Q164101,倒挂金钟,,Fuchsia magellanica,,,species of plant
Q41505,枇杷,Жапон мушмуласы,Eriobotrya japonica,蔷薇科枇杷属的一种植物,,"species of plant, Loquat"
Q95035,最终兵器少女,,Saikano,2006年電影,,Japanese manga series
Q1683229,日本学士院,,Japan Academy,,,national academy
Q11092851,木兰溪,,Mulan Xi,,,watercourse in People's Republic of China
Q5094269,長青隧道,,Cheung Tsing Tunnel,香港3號幹線隧道之一,,tunnel in Hong Kong
Q1069423,京都工藝纖維大學,,Kyoto Institute of Technology,,,university
Q2362527,巴纳比·拉奇,,Barnaby Rudge,,,novel by Charles Dickens
Q39322,藏獒,,Tibetan Mastiff,,,Chinese dog breed
Q1892303,217国道,,China National Highway 217,,,road in China
Q812672,霸州市,,Bazhou,中国河北省廊坊市代管的县级市,,county-level city
Q6411080,英皇道,,King's Road,香港街道,,"road in Eastern District, Hong Kong"
Q18345,S/2004 S 6,,S/2004 S 6,,,provisional designation of a dusty object seen orbiting Saturn
Q1518015,江西铜业股份,,Jiangxi Copper,,,company
Q616410,韋家輝,,Wai Ka-fai,,,Hong Kong filmmaker
Q104093542,世子,,Shizi,东亚亲王继承人的正式封号,,"official title of heir apparent to a royal prince of ancient East Asian dynasties, e.g. Qingwang of Qing dynasty"
Q9382777,三角形郵票,,,,,
Q715400,吳昌碩,,Wu Chang-shuo,清末民初篆刻家,,Qing Dynasty painter (1844–1927)
Q2152366,虎眼万年青,,Ornithogalum saundersiae,,,species of plant
Q837638,羊城通,,Yang Cheng Tong,一种以广州市为主的储值非接触式智能卡,,proximity card
Q184274,天體力學,Аспан механикасы,celestial mechanics,,,branch of astronomy
Q78974,电负性,Электртерістілік,electronegativity,,,tendency of an atom to attract a shared pair of electrons
Q73989,英式早餐,,English breakfast,,,fried food
Q10865710,三大战役,,,,,
Q729484,1978年亚洲运动会,,1978 Asian Games,第八屆亞運會,,eighth edition of the Asian Games
Q3791674,杀手阿一,,Ichi the Killer,,,manga series by Hideo Yamamoto
Q189737,定音鼓,Литавралар,timpani,打击乐器,,large percussion musical instrument which produces a definite pitch
Q262207,70年代,,70s,年代,,decade
Q483605,復仇三部曲,,The Vengeance Trilogy,,,Trilogy of films directed by Park Chan-wook
Q32815,清真寺,мешіт,mosque,穆斯林宗教場所,,place of worship for followers of Islam
Q2630875,塔爾-泰勒曼奈特,,Tar-Telemmaitë,,,fictional character from J.R.R. Tolkien's legendarium
Q40477,斯拉夫人,Славяндар,Slavs,族群,,"Indo-European ethno-linguistic group living in Central Europe, Eastern Europe, Southeastern Europe, Northern Asia, and Central Asia"
Q11371405,二千石,,,,,
Q15955979,湖北省立文科大学,,,,,
Q9522266,南开大学商学院,,,,,
Q21851,檀香目,,Santalales,,,order of plants
Q3236706,生物分子列表,,list of biomolecules,维基媒体列表条目,,Wikimedia list article
Q2145,魁北克市,Квебек,Quebec City,加拿大魁北克省城市,,"capital city of the province of Quebec, Canada"
Q10892925,公权力,,public power,,,
Q698454,高其佩,,Gao Qipei,清代画家,,Chinese artist (1660-1734)
Q8415,1960年夏季奥林匹克运动会,Жазғы Олимпиадалық Ойындар 1960,1960 Summer Olympics,,,"Games of the XVII Olympiad, in Rome, Italy"
Q103955,古斯塔夫·施特雷澤曼,,Gustav Stresemann,,,"German politician, statesman, and Nobel Peace Prize laureate (1878-1929)"
Q160159,箭十字黨,,Arrow Cross Party,,,1935–1945 fascist political party in Hungary
Q210216,大协奏曲,Кончерто гроссо,concerto grosso,,,form of baroque music
Q866098,比施勒－纳皮耶拉尔斯基反应,,Bischler–Napieralski reaction,,,intramolecular electrophilic aromatic substitution reaction
Q761383,黎曼几何,Риман геометриясы,Riemannian geometry,,,branch of differential geometry dealing with (generalized) Riemannian manifolds
Q314265,皮埃尔·孟戴斯-弗朗斯,,Pierre Mendès France,,,French politician (1907-1982)
Q212941,剪嘴鸥属,,Rynchops,鸥科的一属鸟类,,genus of birds
Q161076,保罗·雷诺,,Paul Reynaud,,,French politician and lawyer (1878-1966)
Q484966,朝鮮憲宗,Хонджон,Heonjong of Joseon,朝鮮王朝第24代國王,,24th King of Joseon Dynasty in Korean history
Q8044376,谢绳武,,Xie Shengwu,,,Chinese physicist
Q6453853,亚洲和太平洋地区世界遗产列表,,list of World Heritage Sites in Asia and Oceania,,,Wikimedia list article
Q2367132,星際大爭霸,,Battlestar Galactica,,,American science fiction television series of the 1970s
Q420105,累加器,,accumulator,计数器,,arithmetic register
Q5351510,硬體暫存器,,hardware register,,,circuit components acting like computer memory
Q1006644,聯邦政府,,federal government,,,"highest, central, level of government in a federation"
Q1151539,雅可比恒等式,,Jacobi identity,,,"Property of some binary operations, such as the cross product and any ring's commutator"
Q607489,蒙哥馬利·史考特,,Montgomery Scott,,,fictional character in Star Trek
Q15910911,空韻,,,,,
Q179916,哈勃–勒梅特定律,Хаббл заңы,Hubble–Lemaître law,,,observation in physical cosmology
Q416997,肽类激素,,peptide hormone,,,hormone that is also a peptide
Q171112,歷山二世,,Alexander II,羅馬天主教會第156任教宗,,Head of the Catholic Church from 1061 to 1073
Q53663,有尾目,Құйрықты қосмекенділер,Caudata,两栖动物的一目,,order of amphibians
Q2746180,Cygwin/X,,Cygwin/X,適用於Windows的X伺服器與同名的Unix子系統,,X server for Windows and the namesake Unix subsystem
Q45901,蒂埃里·亨利,Тьерри Анри,Thierry Henry,法国足球运动员,,French association football player and manager
Q6677356,金边瑞香,,Daphne odora f. marginata,,,form of plant
Q15889125,长白松,,Pinus sylvestris var. sylvestriformis,松科松属植物,,variety of plants
Q1966945,國家職業棒球員協會,,National Association of Professional Base Ball Players,,,first professional baseball league
Q10531259,调漆,,,,,Type of color mixing
Q60030,赫伯特·马尔库塞,Маркузе Герберт,Herbert Marcuse,德裔美国哲学家、社会学家（1898－1979）,,"German philosopher, sociologist, and political theorist (1898–1979)"
Q2713581,野田順子,,Junko Noda,,,Japanese voice actress
Q39954,平壤醫學大學,,Pyongyang Medical University,,,"medical university in Pyongyang, North Korea"
Q10299121,敦煌酒樓集團,,,,,
Q10865127,万盛石林,,Wansheng stone forest,,,
Q11143269,泉章居,,Chuen Cheung Kui,,,
Q7967628,王幸男,,Wang Sing-nan,,,Taiwanese politician
Q80172,亚历山大港,,Port Alexander,,,"city in Prince of Wales-Hyder Census Area, Alaska, United States"
Q3125185,邸报,,Tipao,中国古代政府公报,,type of publication in imperial China
Q80174,黑猩猩屬,Шимпанзе,Pan,猩猩科的一属哺乳动物,,"genus of mammals, includes 2 species: common chimpanzee and bonobo"
Q126002,串接,,concatenation,,,joining of strings in a programming language
Q15951850,赤大白铁路,,Chifeng–Baiyinhua Railway,,,railway line in People's Republic of China
Q619010,樹夏實,,Natsumi Itsuki,日本漫畫家,,Japanese manga artist
Q119565,帧率,,frame rate,,,number of frames rendered in one second
Q1125903,西绪弗斯神话,Сизиф туралы аңыз (эссе),The Myth of Sisyphus,1942年阿尔贝·加缪著作,,philosophical essay by Albert Camus
Q15909524,珞珈三女杰,,,,,
Q1318967,蓮花大橋,,Lótus Bridge,連接澳門和珠海橫琴的跨境大橋,,bridge
Q188304,桑德兰,,Sunderland,英格兰城镇,,"city in Tyne and Wear, North East England"
Q595448,后现代主义建筑,,postmodern architecture,,,architectural style that emerged in the 1960s
