query_id,item_qid,property_qid,adj_item_qid
2907404,Q1004534,P17,Q43
2907404,Q1004534,P19,Q19611923
2907404,Q1004534,P19,Q31188708
2907404,Q1004534,P301,Q8577246
2907404,Q1004534,P31,Q3957
2907404,Q1004534,P31,Q1147395
2907404,Q1004534,P421,Q6760
2907404,Q1004534,P47,Q138280
2907404,Q1004534,P47,Q637120
2907404,Q1004534,P910,Q8577246
2907404,Q1004534,P931,Q55613960
2907404,Q1004534,P931,Q124040129
2907404,Q1004534,P931,Q124045092
3328482,Q1004659,P131,Q6030269
3328482,Q1004659,P131,Q16373124
3328482,Q1004659,P131,Q16380732
3328482,Q1004659,P131,Q6918080
3328482,Q1004659,P131,Q6918573
3328482,Q1004659,P1343,Q2657718
3328482,Q1004659,P150,Q482825
3328482,Q1004659,P17,Q43
3328482,Q1004659,P19,Q6038431
3328482,Q1004659,P19,Q6050979
3328482,Q1004659,P19,Q6070846
3328482,Q1004659,P19,Q19611895
3328482,Q1004659,P19,Q116587338
3328482,Q1004659,P31,Q532
3328482,Q1004659,P31,Q3957
3328482,Q1004659,P31,Q1147395
3328482,Q1004659,P421,Q6760
3328482,Q1004659,P559,Q85971011
755897,Q1005300,P131,Q14065782
755897,Q1005300,P131,Q14065749
755897,Q1005300,P131,Q14065774
755897,Q1005300,P131,Q14065794
755897,Q1005300,P131,Q14065734
755897,Q1005300,P150,Q14065778
755897,Q1005300,P150,Q14065743
755897,Q1005300,P150,Q14065770
755897,Q1005300,P150,Q14065789
755897,Q1005300,P150,Q14065728
755897,Q1005300,P17,Q148
755897,Q1005300,P31,Q735428
755897,Q1005300,P421,Q6985
1294963,Q1005366,P1889,Q4997481
1294963,Q1005366,P31,Q523
1294963,Q1005366,P31,Q67206785
1294963,Q1005366,P31,Q71798788
1294963,Q1005366,P361,Q82137934
1294963,Q1005366,P527,Q82137934
1294963,Q1005366,P59,Q10576
1294963,Q1005366,P6259,Q1264450
818555,Q1005602,P131,Q394701
818555,Q1005602,P1344,Q47525
818555,Q1005602,P1344,Q117703
818555,Q1005602,P1344,Q2919297
818555,Q1005602,P1344,Q5608072
818555,Q1005602,P1346,Q5608072
818555,Q1005602,P155,Q585714
818555,Q1005602,P155,Q3811006
818555,Q1005602,P156,Q3811006
818555,Q1005602,P156,Q585714
818555,Q1005602,P17,Q17
818555,Q1005602,P1889,Q223781
818555,Q1005602,P2094,Q77218594
818555,Q1005602,P276,Q133525
818555,Q1005602,P31,Q18536594
818555,Q1005602,P361,Q223781
818555,Q1005602,P527,Q223781
818555,Q1005602,P641,Q11420
134086,Q1006644,P112,Q123735682
134086,Q1006644,P112,Q123736831
134086,Q1006644,P1269,Q43702
134086,Q1006644,P127,Q123736831
134086,Q1006644,P127,Q123999852
134086,Q1006644,P127,Q124054266
134086,Q1006644,P1343,Q3181656
134086,Q1006644,P137,Q1006048
134086,Q1006644,P2770,Q6741204
134086,Q1006644,P2770,Q7894382
134086,Q1006644,P2770,Q7834196
134086,Q1006644,P2770,Q7894374
134086,Q1006644,P2770,Q7894377
134086,Q1006644,P279,Q7188
134086,Q1006644,P279,Q313827
134086,Q1006644,P31,Q10290777
134086,Q1006644,P31,Q5440531
134086,Q1006644,P31,Q1672351
134086,Q1006644,P31,Q48525
134086,Q1006644,P31,Q422404
134086,Q1006644,P361,Q1006365
134086,Q1006644,P461,Q1802419
134086,Q1006644,P921,Q108689974
134086,Q1006644,P921,Q119483235
134086,Q1006644,P971,Q6210127
3103614,Q1006667,P1001,Q65235748
3103614,Q1006667,P1001,Q65491712
3103614,Q1006667,P1001,Q118806099
3103614,Q1006667,P131,Q12517
3103614,Q1006667,P131,Q1726962
3103614,Q1006667,P131,Q120228479
3103614,Q1006667,P131,Q110340767
3103614,Q1006667,P131,Q120228481
3103614,Q1006667,P1313,Q65235748
3103614,Q1006667,P150,Q1726962
3103614,Q1006667,P159,Q118806099
3103614,Q1006667,P17,Q142
3103614,Q1006667,P31,Q484170
3103614,Q1006667,P47,Q859386
3103614,Q1006667,P47,Q964452
3103614,Q1006667,P47,Q988092
3103614,Q1006667,P47,Q1006625
3103614,Q1006667,P47,Q1083478
3103614,Q1006667,P7867,Q123059921
3103614,Q1006667,P7938,Q17173208
3103614,Q1006667,P971,Q123059921
6463328,Q100744147,P106,Q193391
6463328,Q100744147,P1344,Q672556
6463328,Q100744147,P1891,Q672556
6463328,Q100744147,P19,Q1741
6463328,Q100744147,P20,Q1780
6463328,Q100744147,P21,Q6581097
6463328,Q100744147,P22,Q94532969
6463328,Q100744147,P26,Q114233685
6463328,Q100744147,P27,Q533534
6463328,Q100744147,P31,Q5
6463328,Q100744147,P39,Q110788394
6463328,Q100744147,P40,Q94532969
6463328,Q100744147,P734,Q126965418
6463328,Q100744147,P735,Q18180854
6463328,Q100744147,P937,Q28417420
1502973,Q10078982,P127,Q270018
1502973,Q10078982,P17,Q148
1502973,Q10078982,P189,Q6112269
1502973,Q10078982,P276,Q857752
1502973,Q10078982,P276,Q1074318
1502973,Q10078982,P31,Q229765
2982042,Q1007998,P131,Q30672333
2982042,Q1007998,P131,Q76891077
2982042,Q1007998,P131,Q630821
2982042,Q1007998,P17,Q28
2982042,Q1007998,P19,Q51880470
2982042,Q1007998,P31,Q2590631
2982042,Q1007998,P421,Q6655
2982042,Q1007998,P421,Q6723
2982042,Q1007998,P559,Q60088
2982042,Q1007998,P559,Q20439069
2982042,Q1007998,P7938,Q15876829
1414243,Q1008014,P135,Q484458
1414243,Q1008014,P135,Q48725153
1414243,Q1008014,P149,Q484458
1414243,Q1008014,P149,Q6774201
1414243,Q1008014,P149,Q52791556
1414243,Q1008014,P149,Q52792346
1414243,Q1008014,P149,Q52792572
1414243,Q1008014,P279,Q1001041
1414243,Q1008014,P279,Q2277510
1414243,Q1008014,P301,Q9458229
1414243,Q1008014,P31,Q32880
1414243,Q1008014,P361,Q831768
1414243,Q1008014,P460,Q3758072
1414243,Q1008014,P737,Q221375
1414243,Q1008014,P910,Q9458229
2982209,Q1008032,P131,Q105691845
2982209,Q1008032,P131,Q853145
2982209,Q1008032,P138,Q22074887
2982209,Q1008032,P17,Q28
2982209,Q1008032,P19,Q134382
2982209,Q1008032,P19,Q127224967
2982209,Q1008032,P19,Q630927
2982209,Q1008032,P19,Q94529980
2982209,Q1008032,P19,Q127228315
2982209,Q1008032,P20,Q27020227
2982209,Q1008032,P20,Q47537496
2982209,Q1008032,P20,Q118402539
2982209,Q1008032,P31,Q2590631
2982209,Q1008032,P421,Q25989
2982209,Q1008032,P551,Q90961853
2982209,Q1008032,P7938,Q15876829
3030683,Q100829,P131,Q106084106
3030683,Q100829,P131,Q106074044
3030683,Q100829,P131,Q28837180
3030683,Q100829,P131,Q18443344
3030683,Q100829,P131,Q52928968
3030683,Q100829,P1376,Q30026491
3030683,Q100829,P1444,Q117974576
3030683,Q100829,P1444,Q117974654
3030683,Q100829,P1464,Q9225371
3030683,Q100829,P1465,Q9218811
3030683,Q100829,P150,Q16228
3030683,Q100829,P17,Q38
3030683,Q100829,P1792,Q105698398
3030683,Q100829,P19,Q3887263
3030683,Q100829,P19,Q63959067
3030683,Q100829,P19,Q106082803
3030683,Q100829,P19,Q20278709
3030683,Q100829,P19,Q3764589
3030683,Q100829,P190,Q326699
3030683,Q100829,P190,Q572755
3030683,Q100829,P20,Q544738
3030683,Q100829,P20,Q1070862
3030683,Q100829,P20,Q3740326
3030683,Q100829,P20,Q3758743
3030683,Q100829,P20,Q16268681
3030683,Q100829,P301,Q9207423
3030683,Q100829,P31,Q747074
3030683,Q100829,P36,Q30026491
3030683,Q100829,P417,Q3245490
3030683,Q100829,P421,Q6655
3030683,Q100829,P421,Q6723
3030683,Q100829,P47,Q100850
3030683,Q100829,P47,Q100808
3030683,Q100829,P47,Q100775
3030683,Q100829,P47,Q100951
3030683,Q100829,P47,Q100788
3030683,Q100829,P910,Q9207423
3030683,Q100829,P9235,Q106435261
3030683,Q100829,P971,Q9218811
3030683,Q100829,P971,Q9225371
3030683,Q100829,P971,Q105698398
3100259,Q1008458,P1001,Q65189194
3100259,Q1008458,P1001,Q65483319
3100259,Q1008458,P1001,Q104925319
3100259,Q1008458,P1001,Q118802690
3100259,Q1008458,P131,Q700664
3100259,Q1008458,P131,Q120238239
3100259,Q1008458,P131,Q110338682
3100259,Q1008458,P131,Q702864
3100259,Q1008458,P131,Q119298817
3100259,Q1008458,P1313,Q65189194
3100259,Q1008458,P150,Q3372
3100259,Q1008458,P159,Q104925319
3100259,Q1008458,P159,Q118802690
3100259,Q1008458,P17,Q142
3100259,Q1008458,P31,Q484170
3100259,Q1008458,P47,Q1061334
3100259,Q1008458,P47,Q1073402
3100259,Q1008458,P47,Q1073545
3100259,Q1008458,P7867,Q123060006
3100259,Q1008458,P7938,Q547165
3100259,Q1008458,P8138,Q108921193
3100259,Q1008458,P971,Q123060006
3100158,Q1009069,P1001,Q65183956
3100158,Q1009069,P1001,Q65477691
3100158,Q1009069,P1001,Q104927698
3100158,Q1009069,P1001,Q118802503
3100158,Q1009069,P131,Q702864
3100158,Q1009069,P131,Q110338599
3100158,Q1009069,P131,Q120182488
3100158,Q1009069,P131,Q1726531
3100158,Q1009069,P131,Q29203737
3100158,Q1009069,P1313,Q65183956
3100158,Q1009069,P138,Q739893
3100158,Q1009069,P150,Q3372
3100158,Q1009069,P150,Q1726531
3100158,Q1009069,P159,Q95183684
3100158,Q1009069,P159,Q104927698
3100158,Q1009069,P159,Q118802503
3100158,Q1009069,P17,Q142
3100158,Q1009069,P19,Q2702732
3100158,Q1009069,P19,Q119372223
3100158,Q1009069,P31,Q484170
3100158,Q1009069,P47,Q511500
3100158,Q1009069,P47,Q1008574
3100158,Q1009069,P47,Q1070206
3100158,Q1009069,P7867,Q123060036
3100158,Q1009069,P7938,Q1411750
3100158,Q1009069,P971,Q123060036
392938,Q1010269,P138,Q779798
392938,Q1010269,P31,Q483372
392938,Q1010269,P6104,Q8487137
849567,Q1010806,P131,Q12704463
849567,Q1010806,P131,Q188953
849567,Q1010806,P17,Q833
849567,Q1010806,P19,Q5371333
849567,Q1010806,P19,Q11177339
849567,Q1010806,P31,Q515
3028704,Q101082,P131,Q113080447
3028704,Q101082,P131,Q16137
3028704,Q101082,P131,Q18468096
3028704,Q101082,P131,Q120661916
3028704,Q101082,P131,Q112940426
3028704,Q101082,P1376,Q30025915
3028704,Q101082,P150,Q16137
3028704,Q101082,P17,Q38
3028704,Q101082,P301,Q55242686
3028704,Q101082,P31,Q747074
3028704,Q101082,P36,Q30025915
3028704,Q101082,P417,Q40662
3028704,Q101082,P421,Q6655
3028704,Q101082,P421,Q6723
3028704,Q101082,P47,Q101721
3028704,Q101082,P47,Q101199
3028704,Q101082,P47,Q100407
3028704,Q101082,P47,Q15711008
3028704,Q101082,P47,Q101135
3028704,Q101082,P910,Q55242686
3028704,Q101082,P9235,Q106435261
2863125,Q1011275,P131,Q805545
2863125,Q1011275,P131,Q2728603
2863125,Q1011275,P131,Q2728457
2863125,Q1011275,P131,Q2728024
2863125,Q1011275,P131,Q581357
2863125,Q1011275,P1376,Q1348256
2863125,Q1011275,P1464,Q8738858
2863125,Q1011275,P159,Q97174707
2863125,Q1011275,P17,Q403
2863125,Q1011275,P19,Q25464346
2863125,Q1011275,P19,Q13822683
2863125,Q1011275,P19,Q84105946
2863125,Q1011275,P19,Q12759666
2863125,Q1011275,P19,Q12759462
2863125,Q1011275,P190,Q138474
2863125,Q1011275,P190,Q407234
2863125,Q1011275,P20,Q12757175
2863125,Q1011275,P20,Q1459345
2863125,Q1011275,P20,Q125259159
2863125,Q1011275,P20,Q13822683
2863125,Q1011275,P20,Q126209501
2863125,Q1011275,P276,Q4871461
2863125,Q1011275,P276,Q108211955
2863125,Q1011275,P276,Q108212212
2863125,Q1011275,P276,Q108212211
2863125,Q1011275,P276,Q25464160
2863125,Q1011275,P291,Q31182107
2863125,Q1011275,P301,Q13328340
2863125,Q1011275,P31,Q7930989
2863125,Q1011275,P36,Q1348256
2863125,Q1011275,P7867,Q84119742
2863125,Q1011275,P910,Q13328340
2863125,Q1011275,P971,Q84119742
2863125,Q1011275,P971,Q8738858
6689304,Q1011791,P126,Q11510311
6689304,Q1011791,P131,Q2039413
6689304,Q1011791,P17,Q219
6689304,Q1011791,P19,Q25483383
6689304,Q1011791,P31,Q4224624
6689304,Q1011791,P31,Q15630849
6689304,Q1011791,P421,Q6723
6689304,Q1011791,P421,Q6760
3098222,Q1013152,P1001,Q65265079
3098222,Q1013152,P1001,Q65493879
3098222,Q1013152,P1001,Q105016410
3098222,Q1013152,P1001,Q118800393
3098222,Q1013152,P131,Q1726869
3098222,Q1013152,P131,Q22925520
3098222,Q1013152,P131,Q22925526
3098222,Q1013152,P131,Q110360925
3098222,Q1013152,P131,Q38491392
3098222,Q1013152,P1313,Q65265079
3098222,Q1013152,P1456,Q63400213
3098222,Q1013152,P150,Q1726869
3098222,Q1013152,P159,Q105016410
3098222,Q1013152,P159,Q118800393
3098222,Q1013152,P17,Q142
3098222,Q1013152,P1889,Q862926
3098222,Q1013152,P301,Q65733430
3098222,Q1013152,P31,Q484170
3098222,Q1013152,P47,Q651932
3098222,Q1013152,P47,Q1014736
3098222,Q1013152,P47,Q219219
3098222,Q1013152,P47,Q214616
3098222,Q1013152,P47,Q470904
3098222,Q1013152,P7867,Q123060280
3098222,Q1013152,P7938,Q17623037
3098222,Q1013152,P8138,Q108921746
3098222,Q1013152,P910,Q65733430
3098222,Q1013152,P971,Q65740496
3098222,Q1013152,P971,Q123060280
12587,Q101362,P105,Q7432
12587,Q101362,P171,Q171283
12587,Q101362,P171,Q24577315
12587,Q101362,P171,Q1142896
12587,Q101362,P171,Q977192
12587,Q101362,P171,Q1133387
12587,Q101362,P301,Q9414402
12587,Q101362,P31,Q23038290
12587,Q101362,P31,Q1255478
12587,Q101362,P31,Q1498288
12587,Q101362,P31,Q47299612
12587,Q101362,P427,Q56457366
12587,Q101362,P5008,Q6173448
12587,Q101362,P910,Q9414402
12587,Q101362,P921,Q30661151
12587,Q101362,P921,Q51151328
12587,Q101362,P921,Q34804068
12587,Q101362,P921,Q39465542
12587,Q101362,P921,Q38378416
354538,Q1013643,P1302,Q1969416
354538,Q1013643,P131,Q30026860
354538,Q1013643,P131,Q10922608
354538,Q1013643,P131,Q11060230
354538,Q1013643,P131,Q5869
354538,Q1013643,P131,Q1254536
354538,Q1013643,P150,Q14288435
354538,Q1013643,P150,Q10930865
354538,Q1013643,P150,Q5208696
354538,Q1013643,P150,Q14288454
354538,Q1013643,P150,Q10922608
354538,Q1013643,P17,Q148
354538,Q1013643,P19,Q2388214
354538,Q1013643,P19,Q20934581
354538,Q1013643,P19,Q58945476
354538,Q1013643,P301,Q25167453
354538,Q1013643,P31,Q1065118
354538,Q1013643,P421,Q6985
354538,Q1013643,P910,Q25167453
3028760,Q101388,P131,Q52830357
3028760,Q101388,P131,Q16137
3028760,Q101388,P131,Q119439874
3028760,Q101388,P131,Q90728104
3028760,Q101388,P131,Q113458177
3028760,Q101388,P1376,Q30028812
3028760,Q101388,P1464,Q18753818
3028760,Q101388,P150,Q16137
3028760,Q101388,P17,Q38
3028760,Q101388,P19,Q23837117
3028760,Q101388,P19,Q23837118
3028760,Q101388,P19,Q780421
3028760,Q101388,P19,Q82925267
3028760,Q101388,P19,Q23837116
3028760,Q101388,P20,Q87207694
3028760,Q101388,P20,Q88193500
3028760,Q101388,P20,Q3617130
3028760,Q101388,P276,Q107002263
3028760,Q101388,P301,Q21808553
3028760,Q101388,P31,Q747074
3028760,Q101388,P36,Q30028812
3028760,Q101388,P417,Q133704
3028760,Q101388,P421,Q6655
3028760,Q101388,P421,Q6723
3028760,Q101388,P47,Q101713
3028760,Q101388,P47,Q100162
3028760,Q101388,P47,Q101291
3028760,Q101388,P47,Q101194
3028760,Q101388,P47,Q100133
3028760,Q101388,P910,Q21808553
3028760,Q101388,P9235,Q106435261
3028760,Q101388,P971,Q18753818
927486,Q1014528,P131,Q1131460
927486,Q1014528,P155,Q690464
927486,Q1014528,P155,Q11353184
927486,Q1014528,P156,Q11353184
927486,Q1014528,P156,Q690464
927486,Q1014528,P17,Q17
927486,Q1014528,P2348,Q204023
927486,Q1014528,P276,Q11371339
927486,Q1014528,P31,Q188055
927486,Q1014528,P361,Q11627099
927486,Q1014528,P527,Q11627099
927486,Q1014528,P710,Q276404
927486,Q1014528,P710,Q11366230
927486,Q1014528,P793,Q11371339
2982095,Q1016471,P131,Q987635
2982095,Q1016471,P17,Q28
2982095,Q1016471,P31,Q2590631
2982095,Q1016471,P421,Q25989
2982095,Q1016471,P7938,Q15875545
795501,Q1018167,P131,Q5242298
795501,Q1018167,P131,Q7692486
795501,Q1018167,P1343,Q28763
795501,Q1018167,P1343,Q602358
795501,Q1018167,P1343,Q867541
795501,Q1018167,P1376,Q843954
795501,Q1018167,P138,Q1321827
795501,Q1018167,P17,Q836
795501,Q1018167,P1889,Q1364559
795501,Q1018167,P19,Q454491
795501,Q1018167,P19,Q104286568
795501,Q1018167,P19,Q19718388
795501,Q1018167,P19,Q89868394
795501,Q1018167,P19,Q7323988
795501,Q1018167,P20,Q4831127
795501,Q1018167,P20,Q5537063
795501,Q1018167,P276,Q30149289
795501,Q1018167,P31,Q515
795501,Q1018167,P31,Q1549591
795501,Q1018167,P36,Q843954
795501,Q1018167,P421,Q6923
795501,Q1018167,P921,Q24483395
795501,Q1018167,P921,Q84697187
795501,Q1018167,P921,Q124006729
795501,Q1018167,P931,Q1321827
3091505,Q1018506,P1001,Q65178745
3091505,Q1018506,P1001,Q65466653
3091505,Q1018506,P1001,Q118785027
3091505,Q1018506,P131,Q700826
3091505,Q1018506,P131,Q110328978
3091505,Q1018506,P131,Q120248000
3091505,Q1018506,P131,Q1724792
3091505,Q1018506,P131,Q2968046
3091505,Q1018506,P1313,Q65178745
3091505,Q1018506,P138,Q22596798
3091505,Q1018506,P150,Q1724792
3091505,Q1018506,P159,Q94356678
3091505,Q1018506,P159,Q118785027
3091505,Q1018506,P17,Q142
3091505,Q1018506,P31,Q484170
3091505,Q1018506,P421,Q6655
3091505,Q1018506,P421,Q6723
3091505,Q1018506,P47,Q197168
3091505,Q1018506,P47,Q580663
3091505,Q1018506,P47,Q1047160
3091505,Q1018506,P47,Q1083962
3091505,Q1018506,P47,Q1086285
3091505,Q1018506,P7867,Q123060581
3091505,Q1018506,P7938,Q23044660
3091505,Q1018506,P8138,Q108921871
3091505,Q1018506,P971,Q123060581
962889,Q1018736,P106,Q622807
962889,Q1018736,P1412,Q5287
962889,Q1018736,P19,Q127513
962889,Q1018736,P21,Q6581097
962889,Q1018736,P27,Q17
962889,Q1018736,P31,Q5
962889,Q1018736,P725,Q115945914
962889,Q1018736,P725,Q11660261
962889,Q1018736,P725,Q96018026
962889,Q1018736,P725,Q123335011
962889,Q1018736,P725,Q2470001
962889,Q1018736,P734,Q16883184
962889,Q1018736,P735,Q2278737
2912869,Q1019377,P119,Q4417622
2912869,Q1019377,P131,Q12551753
2912869,Q1019377,P131,Q12565376
2912869,Q1019377,P131,Q12565379
2912869,Q1019377,P131,Q16431659
2912869,Q1019377,P131,Q485429
2912869,Q1019377,P159,Q12551753
2912869,Q1019377,P159,Q24937097
2912869,Q1019377,P17,Q232
2912869,Q1019377,P17,Q15180
2912869,Q1019377,P1791,Q32376711
2912869,Q1019377,P19,Q63249237
2912869,Q1019377,P19,Q18046112
2912869,Q1019377,P19,Q4060003
2912869,Q1019377,P19,Q69030988
2912869,Q1019377,P19,Q4417622
2912869,Q1019377,P20,Q4417622
2912869,Q1019377,P276,Q60853063
2912869,Q1019377,P301,Q22348244
2912869,Q1019377,P31,Q515
2912869,Q1019377,P31,Q486972
2912869,Q1019377,P421,Q6906
2912869,Q1019377,P551,Q69030988
2912869,Q1019377,P910,Q22348244
2912869,Q1019377,P971,Q32376711
3245164,Q1019714,P131,Q213251
3245164,Q1019714,P150,Q213251
3245164,Q1019714,P17,Q45
3245164,Q1019714,P31,Q1131296
981571,Q1021025,P105,Q7432
981571,Q1021025,P1343,Q112869401
981571,Q1021025,P141,Q219127
981571,Q1021025,P171,Q156212
981571,Q1021025,P2868,Q810198
981571,Q1021025,P31,Q16521
981571,Q1021025,P566,Q89020946
3113241,Q1021111,P1001,Q65180170
3113241,Q1021111,P1001,Q65469813
3113241,Q1021111,P1001,Q104925121
3113241,Q1021111,P1001,Q118822052
3113241,Q1021111,P131,Q29256143
3113241,Q1021111,P131,Q12631
3113241,Q1021111,P131,Q29256144
3113241,Q1021111,P131,Q119298448
3113241,Q1021111,P131,Q616226
3113241,Q1021111,P1313,Q65180170
3113241,Q1021111,P1456,Q107101863
3113241,Q1021111,P159,Q104925121
3113241,Q1021111,P159,Q118822052
3113241,Q1021111,P17,Q142
3113241,Q1021111,P301,Q107101862
3113241,Q1021111,P31,Q484170
3113241,Q1021111,P47,Q59437
3113241,Q1021111,P47,Q210672
3113241,Q1021111,P47,Q220738
3113241,Q1021111,P47,Q867837
3113241,Q1021111,P47,Q1159365
3113241,Q1021111,P7867,Q123060733
3113241,Q1021111,P7938,Q1724138
3113241,Q1021111,P8138,Q108921755
3113241,Q1021111,P910,Q107101862
3113241,Q1021111,P971,Q123060733
1796606,Q1022152,P131,Q846320
1796606,Q1022152,P138,Q519328
1796606,Q1022152,P17,Q953
1796606,Q1022152,P31,Q515
1796606,Q1022152,P421,Q6723
6036221,Q1022290,P131,Q3031316
6036221,Q1022290,P1464,Q28929613
6036221,Q1022290,P17,Q953
6036221,Q1022290,P1889,Q846063
6036221,Q1022290,P19,Q671306
6036221,Q1022290,P19,Q2703706
6036221,Q1022290,P19,Q15835700
6036221,Q1022290,P19,Q26250651
6036221,Q1022290,P301,Q28929612
6036221,Q1022290,P31,Q486972
6036221,Q1022290,P31,Q63241909
6036221,Q1022290,P421,Q6723
6036221,Q1022290,P910,Q28929612
6036221,Q1022290,P971,Q28929613
4688034,Q1023574,P10254,Q38051395
4688034,Q1023574,P10254,Q38089005
4688034,Q1023574,P10254,Q38051312
4688034,Q1023574,P10254,Q12030690
4688034,Q1023574,P10254,Q38051345
4688034,Q1023574,P131,Q46395867
4688034,Q1023574,P131,Q45693175
4688034,Q1023574,P131,Q45696998
4688034,Q1023574,P131,Q5103859
